"id" "sex" "gpa" "Alcoholuse" "alcatt" "dadjob" "momjob" "dadclose" "momclose" "larceny" "vandalism"
"123" 123 2 2 3 0 1 1 0 1 2 1
"124" 124 2 1 4 2 1 2 3 2 0 2
"125" 125 2 1 5 3 1 1 1 3 1 7
"126" 126 1 2 2 4 1 2 1 0 0 1
"127" 127 2 1 4 1 1 2 1 1 0 3
"128" 128 2 1 2 1 1 2 1 0 0 1
"129" 129 2 1 5 0 1 2 2 4 3 1
"130" 130 2 4 5 1 1 2 1 3 2 2
"131" 131 1 1 3 3 1 2 4 5 3 1
"132" 132 2 1 8 1 1 1 0 3 1 1
"133" 133 1 2 4 3 1 2 0 1 0 4
"134" 134 2 3 4 1 1 2 3 2 0 3
"135" 135 1 3 6 1 1 2 2 2 0 3
"136" 136 2 2 4 5 2 2 0 0 1 4
"137" 137 2 0 6 4 2 2 2 1 2 4
"138" 138 1 1 6 1 1 2 1 2 1 1
"139" 139 2 0 3 1 2 1 4 2 0 0
"140" 140 2 1 5 3 1 2 1 4 0 4
"141" 141 1 0 3 4 1 2 1 2 1 1
"142" 142 2 2 3 0 1 2 2 2 2 3
"143" 143 2 1 6 1 1 2 1 0 1 0
"144" 144 1 0 4 0 1 2 5 1 3 3
"145" 145 2 0 0 1 1 1 3 3 1 3
"146" 146 2 3 2 2 1 2 3 1 3 1
"147" 147 2 3 6 2 1 2 1 1 2 4
"148" 148 1 1 6 5 1 2 1 1 0 1
"149" 149 2 3 2 1 2 2 0 3 0 3
"150" 150 1 3 4 3 1 1 3 1 0 2
"151" 151 2 3 6 3 1 2 2 2 0 1
"152" 152 2 0 3 3 1 1 0 3 0 3
"153" 153 2 2 4 1 1 2 2 2 0 5
"154" 154 1 1 6 3 1 2 3 2 1 4
"155" 155 1 0 2 4 1 2 4 3 0 0
"156" 156 1 4 3 0 1 2 0 2 0 2
"157" 157 2 1 4 4 2 2 3 1 1 2
"158" 158 2 2 1 1 1 2 2 2 1 2
"159" 159 2 5 2 2 1 1 1 1 1 0
"160" 160 2 4 1 0 1 2 2 0 1 1
"161" 161 2 2 3 4 1 2 1 1 0 4
"162" 162 1 2 4 1 1 2 0 1 1 3
"163" 163 2 1 6 0 1 2 2 4 1 1
"164" 164 2 5 5 5 1 1 1 2 2 1
"165" 165 2 4 4 3 1 2 2 2 1 1
"166" 166 2 1 1 1 1 2 3 4 1 4
"167" 167 2 1 6 1 1 1 1 1 0 0
"168" 168 2 2 3 2 1 2 1 4 3 2
"169" 169 2 1 1 2 1 2 2 3 2 0
"170" 170 1 3 4 2 2 2 3 1 1 1
"171" 171 2 0 8 1 1 2 0 0 0 3
"172" 172 2 2 3 3 1 2 2 5 3 2
"173" 173 2 4 1 2 1 2 2 2 3 1
"174" 174 2 2 4 0 1 2 4 2 0 1
"175" 175 2 1 4 0 1 2 2 2 1 0
"176" 176 1 2 2 3 1 1 4 2 1 2
"177" 177 2 1 2 0 1 2 0 1 1 1
"178" 178 1 3 3 4 1 2 2 2 2 4
"179" 179 2 3 5 1 1 2 0 2 3 1
"180" 180 2 1 4 4 1 2 1 1 1 1
"181" 181 1 4 4 5 1 1 2 3 2 4
"182" 182 2 5 4 1 1 2 3 2 1 1
"183" 183 1 3 2 2 1 1 1 2 1 1
"184" 184 2 0 7 5 1 2 0 0 1 3
"185" 185 2 0 7 1 1 2 3 2 0 3
"186" 186 1 0 6 1 1 2 2 2 0 4
"187" 187 1 4 7 1 1 2 1 4 1 3
"188" 188 2 0 3 2 1 2 4 2 0 1
"189" 189 2 3 1 1 1 2 0 0 0 4
"190" 190 2 3 4 0 1 2 3 6 0 1
"191" 191 1 1 3 0 1 2 0 1 0 1
"192" 192 1 3 5 3 1 1 2 2 0 4
"193" 193 1 5 7 3 1 2 0 2 1 0
"194" 194 2 2 5 2 1 2 3 5 2 2
"195" 195 2 0 2 2 1 1 2 3 1 1
"196" 196 2 2 5 2 1 2 2 0 0 2
"197" 197 2 1 4 4 1 2 2 0 1 1
"198" 198 1 3 0 0 1 1 2 0 0 3
"199" 199 1 3 1 2 1 2 0 0 0 4
"200" 200 2 2 2 3 2 1 1 1 2 2
